9784P,8103,BIELSA,HUESCA,423748N,001329E,992,2006-01-29,2022-02-02,
9898,8094,HUESCA, AEROPUERTO,HUESCA,420504N,001932W,546,1943-03-01,2022-02-02
9201K,8091,JACA,HUESCA,423444N,003249W,823,1992-01-01,2022-02-02,
9814A,8101,TORLA,HUESCA,423736N,000642W,1020,2006-01-29,2016-05-04,
B569X,8311,CAPDEPERA,ILLES BALEARS,394300N,032841E,57,1989-01-01,2022-02-02,
B013X,8304,ESCORCA, LLUC,ILLES BALEARS,394924N,025309E,490,1993-04-15,2022-02-02
B954,8373,IBIZA, AEROPUERTO,ILLES BALEARS,385235N,012304E,6,1944-01-01,2022-02-02
B893,8314,MENORCA, AEROPUERTO,ILLES BALEARS,395117N,041256E,91,1965-01-01,2022-02-02
B278,8306,PALMA DE MALLORCA, AEROPUERTO,ILLES BALEARS,393339N,024412E,8,1972-08-01,2022-02-02
B228,8301,PALMA, PUERTO,ILLES BALEARS,393319N,023731E,3,1978-01-01,2022-02-02
B346X,8310,PORRERES,ILLES BALEARS,393118N,030109E,120,1989-02-09,2022-02-02,
B434X,8309,PORTOCOLOM  ,ILLES BALEARS,392452N,031618E,17,1993-01-01,2022-02-02,
B691Y,8312,SA POBLA,ILLES BALEARS,394457N,030100E,40,2011-04-19,2022-02-02,
B248,8303,SIERRA DE ALFABIA, BUNYOLA,ILLES BALEARS,394406N,024247E,1030,1971-04-01,2022-02-02
5298X,8347,ANDUJAR,JAEN,380123N,040348W,202,2001-01-01,2022-02-02,
5181D,8352,ARROYO DEL OJANCO,JAEN,381853N,025323W,580,2001-01-02,2022-02-02,
5038X,8353,CAZORLA,JAEN,375457N,030014W,782,2005-09-13,2018-10-02,
5270,,JAEN, INSTITUTO,JAEN,374635N,034720W,510,1920-05-01,2014-09-30
5270B,8417,JAEN,JAEN,374639N,034832W,580,1983-04-02,2022-02-02,
5246,8350,SANTA ELENA,JAEN,382040N,033207W,770,1929-09-01,2022-02-02,
5192,8354,VILLARRODRIGO,JAEN,382921N,023815W,862,1985-12-01,2022-02-02,
9170,8084,LOGRONO, AEROPUERTO,LA RIOJA,422708N,021952W,353,1948-11-01,2022-02-02
C249I,60035,FUERTEVENTURA AEROPUERTO,LAS PALMAS,282641N,135147W,25,1967-01-01,2022-02-02,
C649I,60030,GRAN CANARIA AEROPUERTO,LAS PALMAS,275504N,152343W,32,1951-01-01,2022-02-02,
C619I,60027,LA ALDEA DE SAN NICOLAS,LAS PALMAS,280003N,154850W,10,2000-01-14,2016-09-15,
C029O,60040,LANZAROTE AEROPUERTO,LAS PALMAS,285707N,133601W,14,1972-11-01,2022-02-02,
C659M,60032,LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA,LAS PALMAS,280647N,152517W,15,2013-09-21,2022-02-02
C659H,60029,LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL,LAS PALMAS,280523N,152458W,55,2002-05-02,2022-02-02
C689E,60037,MASPALOMAS,LAS PALMAS,274409N,153545W,6,1994-07-01,2022-02-02,
C629X,60036,MOGON, PUERTO,LAS PALMAS,274859N,154551W,10,2003-02-07,2022-02-02
C229J,60034,PAJARA,LAS PALMAS,280257N,142129W,15,1993-02-01,2022-02-02,
C839I,,TEGUISE,LAS PALMAS,291355N,133007W,10,1992-01-01,2016-11-06,
2737E,8123,LAGUNAS DE SOMOZA,LEON,422239N,061148W,1020,1999-10-02,2022-02-02,
2661B,8055,LEON AEROPUERTO,LEON,423558N,053837W,912,2014-04-01,2017-07-31,
2661,8055,LEON, VIRGEN DEL CAMINO,LEON,423518N,053904W,912,1938-01-01,2022-02-02
1549,8053,PONFERRADA,LEON,423350N,063600W,534,1951-01-01,2022-02-02,
2630X,8057,PUERTO DE SAN ISIDRO,LEON,430344N,052237W,1510,1991-10-04,2022-02-02,
9619,8115,LA SEU D'URGELL,LLEIDA,422117N,012747E,677,1928-09-01,2022-02-02,
9771,,LLEIDA, OBSERVATORIO,LLEIDA,413702N,003716E,199,1959-06-01,1983-01-31
9771C,8171,LLEIDA,LLEIDA,413734N,003553E,185,1983-02-01,2022-02-02,
9990X,8107,NAUT ARAN, ARTIES ,LLEIDA,424201N,005237E,1161,2002-01-01,2022-02-02
9698U,8112,TALARN,LLEIDA,421219N,005155E,807,2002-01-01,2022-02-02,
9720X,8173,TARREGA,LLEIDA,413902N,010858E,388,1997-01-02,2019-11-13,
1505,8008,LUGO AEROPUERTO,LUGO,430641N,072727W,445,1951-01-01,2022-02-02,
3100B,8229,ARANJUEZ,MADRID,400402N,033246W,540,1976-04-01,2022-02-02,
3110C,8146,BUITRAGO DEL LOZOYA,MADRID,410025N,033649W,1030,1997-01-01,2022-02-02,
3191E,8219,COLMENAR VIEJO,MADRID,404146N,034554W,1004,1978-01-01,2022-02-02,
3200,8224,GETAFE,MADRID,401758N,034320W,620,1951-01-01,2022-02-02,
3129,8221,MADRID AEROPUERTO,MADRID,402800N,033320W,609,1945-01-01,2022-02-02,
3194U,8220,MADRID, CIUDAD UNIVERSITARIA,MADRID,402706N,034327W,664,1972-01-01,2021-06-14
3196,8223,MADRID, CUATRO VIENTOS,MADRID,402232N,034710W,690,1945-05-01,2022-02-02
3195,8222,MADRID, RETIRO,MADRID,402443N,034041W,667,1920-01-01,2022-02-02
3266A,8217,PUERTO ALTO DEL LEON,MADRID,404223N,040831W,1532,1997-01-01,2022-02-02,
2462,8215,PUERTO DE NAVACERRADA,MADRID,404735N,040038W,1894,1946-01-01,2022-02-02,
3338,8212,ROBLEDO DE CHAVELA,MADRID,402540N,041500W,763,1997-01-04,2022-02-02,
3111D,8145,SOMOSIERRA,MADRID,410808N,033449W,1450,2005-07-03,2022-02-02,
3175,8227,TORREJON DE ARDOZ,MADRID,402919N,032637W,607,1961-01-01,2022-02-02,
6106X,8413,ANTEQUERA,MALAGA,370146N,044454W,408,2001-01-01,2022-02-02,
6058I,8463,ESTEPONA,MALAGA,362501N,050918W,19,2001-01-01,2022-02-02,
6084X,8480,FUENGIROLA,MALAGA,363219N,043706W,8,2000-12-01,2022-02-02,
6155A,8482,MALAGA AEROPUERTO,MALAGA,363958N,042856W,5,1942-05-01,2022-02-02,
6156X,8481,MALAGA, CENTRO METEOROLOGICO,MALAGA,364304N,042854W,54,2001-01-01,2022-02-02
6172O,8479,MALAGA, PUERTO,MALAGA,364300N,042511W,25,2001-01-01,2016-01-31
6032B,8443,RONDA,MALAGA,364459N,051006W,766,2001-01-01,2016-01-20,
6205X,8484,TORROX,MALAGA,364335N,035726W,3,2001-01-02,2022-02-02,
6000A,60338,MELILLA,MELILLA,351635N,025723W,52,1965-01-01,2022-02-02,
7002Y,8432,AGUILAS,MURCIA,372502N,013513W,26,2009-01-11,2022-02-02,
7228,8429,ALCANTARILLA,BASE AEREA,MURCIA,375728N,011343W,75,1940-01-01,2022-02-02
7119B,8365,CARAVACA DE LA CRUZ,MURCIA,380609N,015238W,643,2009-01-30,2022-02-02,
7012C,8434,CARTAGENA,MURCIA,373604N,005916W,17,1988-09-01,2022-02-02,
